Doel-soort;LfMD;nrMD;MD;Code;"Jaar/
fase";Domein;Subdomein;Cluster;Leerplandoel;Voorbeelden;Extra toelichting;Diagonale coherentie met andere disciplines
P;K-;1.3.9;K-1.3.9;1.1.PF3.2;F3.;Communicatieve fundamenten;Sociale aandacht;Wederkerigheid;De leerling kan inspelen op signalen van anderen.;Troosten, glimlach, talig;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.3;F3.;Communicatieve fundamenten;Sociale aandacht;Wederkerigheid;De leerling kan kort aandacht verplaatsen van een activiteit naar de spreker na het horen van zijn naam.;Kijkt van speelgoed naar volwassene en terug.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.4;F3.;Communicatieve fundamenten;Sociale aandacht;Wederkerigheid;De leerling kan in het reageren onderscheid maken tussen eigen naam en andere namen in sociale situaties.;Reageert wel op eigen naam, niet op andere namen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.5;F1.;Communicatieve fundamenten;Sociale aandacht;Gedeelde aandacht;De leerling kan kort oogcontact maken en zijn blik richten op hetzelfde voorwerp als de volwassene.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.7;F2.;Communicatieve fundamenten;Sociale aandacht;Gedeelde aandacht;De leerling kan zijn blik wisselen tussen persoon en voorwerp om gedeelde focus te tonen.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.8;F2.;Communicatieve fundamenten;Sociale aandacht;Gedeelde aandacht;De leerling kan wijzen of gebaren gebruiken om de aandacht van een ander te richten.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.5;F3.;Communicatieve fundamenten;Sociale aandacht;Gedeelde aandacht;De leerling kan actief de aandacht van een ander trekken en delen om iets te tonen of samen te beleven.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.6;F1.;Communicatieve fundamenten;Sociale aandacht;Intentionaliteit;De leerling neemt initiatief om basale behoeften, plezier beleving of ongemak te uiten.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.9;F2.;Communicatieve fundamenten;Sociale aandacht;Intentionaliteit;De leerling kan intentioneel boodschappen uiten zoals vragen, weigeren, bevestigen, delen.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.10;F2.;Communicatieve fundamenten;Sociale aandacht;Intentionaliteit ;De leerling kan doelbewust signalen of ondersteunende communicatie gebruiken om vertrouwde volwassene te betrekken. ;Door wijzen, geluid maken, bij de hand nemen, echolalie van woord;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.6;F3.;Communicatieve fundamenten;Sociale aandacht;Functionaliteit;De leerling kan communicatie gebruiken in functie van gewenning en dagelijkse routines zoals aan vertrouwde en minder vertrouwde personen, dagstructuur, materialen, activiteiten, standaard uitdrukkingen.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.7;F3.;Communicatieve fundamenten;Sociale aandacht;Functionaliteit;De leerling kan communicatie gebruiken in functie van zelfredzaamheid zoals vragen/geven, aannemen/afwijzen, activiteit of persoon, voorkeur uitdrukken, kiezen. ;;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.8;F3.;Communicatieve fundamenten;Sociale aandacht;Functionaliteit;De leerling kan communicatie gebruiken om gevoelens of behoeften uit te drukken.;Drukt ongenoegen uit via gebaar of stem.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.9;F3.;Communicatieve fundamenten;Sociale aandacht;Functionaliteit;De leerling kan communicatie gebruiken in sociale interactie zoals groeten, naam gebruiken, zwaaien.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.10;F3.;Communicatieve fundamenten;Sociale aandacht;Functionaliteit;De leerling kan communicatie gebruiken in spel of taakcontext zoals opdrachtbegrip, beginnen/stoppen, opruimen.;;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.11;F3.;Communicatieve fundamenten;Sociale aandacht;Functionaliteit;De leerling kan relatie leggen tussen zichzelf en eigen naam, foto of naamkaartje.;Zegt eigen naam, wijst van naamkaartje of foto naar zichzelf.;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.7;F1.;Communicatieve fundamenten;Betekenisverlening;Sensatieniveau;De leerling bouwt vertrouwen op met zintuiglijke prikkels uit de omgeving waardoor hij verbonden wordt met een verwachting, gevoel of reactie.;"Prikkels uit de omgeving zoals licht, geluid, aanraking, beweging, stem, gezichtsuitdrukking, lichaamshouding
Focus op hier-en-nu; korte interacties; multimodaal (kijken, voelen, horen).  Via (gedeelde) aandacht, voorspelbare routines en eenvoudige beurtname.";;
P;K-;1.3.9;K-1.3.9;1.1.PF1.8;F1.;Communicatieve fundamenten;Betekenisverlening;Sensatieniveau;De leerling merkt verschillen in toon, ritme en nabijheid op.;Kijkt op bij harde toon, wordt rustig bij zachte toon.;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.9;F1.;Communicatieve fundamenten;Betekenisverlening;Sensatieniveau;De leerling reageert op zintuiglijke signalen.;Stemgeluid, lachen of stil worden bij contact, lichamalijke reactie in beweging, fysiologisch reacties;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.10;F1.;Communicatieve fundamenten;Betekenisverlening;Sensatieniveau;De leerling kan een vaste non-verbale respons koppelen aan een betekenis.;"Fysiologische reactie zeveren, wordt een reactie die nabijheid van volwassene oproept, die mond komt afkuisen.
Door ervaring, conditionering: gebaar/aanwijzen voor ‘meer’, ‘klaar’, ‘drinken’.";;
P;K-;1.3.9;K-1.3.9;1.1.PF2.11;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling kan concrete betekenissen koppelen aan communicatievormen in het hier en nu.;"Handelingen, signalen van anderen, aan voorwerpen of verduidelijking in de ruimte/organisatie van activiteiten.
1-op-1 koppeling: symbool ↔ handeling in zichtbare situatie. Lepel - eten";;
P;K-;1.3.9;K-1.3.9;1.1.PF2.12;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling herkent voorwerpen die verwijzen naar een handeling/actie in een vertrouwde context.;Brooddoos, eten aan tafel ;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.13;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling interpreteert eenvoudige sociale signalen.;Komt dichterbij bij uitnodigend gebaar.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.14;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling kan betekenis geven aan eenvoudige overgangen in het hier en nu door matchen of inpuzzelen.;Matchen: dezelfde pictos/foto's op elkaar, nog geen betekenis aan foto/picto;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.15;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling kan anticiperen op een signaal als onderdeel van een concrete routine/handeling in het hier-en-nu. ;Opruimlied is opruimen, beker op tafel is drinken.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.16;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling kan een eenvoudige cue volgen om handeling te beëindigen of te starten.;Stophand → pauzeren, pijl naar bak → materiaal opruimen, broekknop openen à broek naar beneden duwen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.17;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling begrijpt dat vergelijkbare voorwerpen dezelfde functie of bedoeling hebben.;Twee verschillende bekers → toch ‘drinken’ kiezen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.18;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling kan eenvoudige boodschappen zoals nog, genoeg, stop duidelijk maken in hier en nu. ;Bij eten praatknop gebruiken om nog een boterham te vragen, stopgebaar of wegduwen bij genoeg eten.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.19;F2.;Communicatieve fundamenten;Betekenisverlening;Presentatieniveau ;De leerling kan in een concrete situatie een voorwerp doelgericht inzetten om een onmiddellijk zichtbaar effect te bereiken.;Een beker geven om drinken te krijgen, klaarstaan aan kapstok omdat hij naar buiten wil, gaat op stoel staan omdat favoriet speeltje op de kast staat.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.12;F3.;Communicatieve fundamenten;Betekenisverlening;Representatieniveau;De leerling kan doelgericht aangeleerde communicatie inzetten in de klascontext.;Vragen om een koek via hun communicatiebord.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.13;F3.;Communicatieve fundamenten;Betekenisverlening;Representatieniveau;De leerling kan betekenis koppelen aan vertrouwde woorden, gebaren of visuele/tactiele communicatie.;"Pictogram ‘wc’ → toiletbezoek; foto beker → drinken; woord ‘slapen’ koppelen aan bed/routine,  gebaar, tactiele gebarentaal in de hand van de leerling.";;
P;K-;1.3.9;K-1.3.9;1.1.PF3.14;F3.;Communicatieve fundamenten;Betekenisverlening;Representatieniveau;De leerling interpreteert acties van anderen binnen routines.;Gaat naar tafel als tafelgedekte routine start.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.15;F3.;Communicatieve fundamenten;Betekenisverlening;Representatieniveau;De leerling kan verwijzers, gebaren en mondelinge taal integreren tot één betekenis.;Visuele zin ‘drinken + pijl + keuken’, categorie ‘fruit’ vs ‘koek’, mondeling ‘pak jas en kom’ als één geheel begrijpen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.16;F3.;Communicatieve fundamenten;Betekenisverlening;Representatieniveau;De leerling kan betekenis geven aan de klasafspraken ondersteund door afgestemde communicatievorm.;"Stophand = pauze; opruimpictogram = opruimen, mondeling ‘stop’, ‘wachten’ begrijpen.
Tactiele handgebaar - start samenspel";;
P;K-;1.3.9;K-1.3.9;1.1.PF3.17;F3.;Communicatieve fundamenten;Betekenisverlening;Representatieniveau;De leerling kan betekenis afleiden uit handelingen of contextsignalen.;Tafel wordt gedekt → naar tafel, jas wordt gepakt → naar buiten, mondeling ‘bijna tijd’ → opruimen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.18;F3.;Communicatieve fundamenten;Betekenisverlening;Representatieniveau;De leerling begrijpt woorden en ondersteunende communicatievormen die verwijzen naar iets dat niet zichtbaar is.;Begrijpen dat pictogrammen/foto’s verwijzen naar afwezige handelingen/plaatsen, woord ‘jas’ begrijpen zonder zichtbare jas. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.11;F1.;Communicatieve fundamenten;Communicatievormen;Sensatieniveau;De leerling voelt zich in zijn communicatie bevestigd doordat zijn lichaamsgebonden signalen zoals ademhalingsveranderingen, fysiologische signalen zoals kwijlen, ritmische bewegingen, micro-expressies, spierspanning door de leraar worden opgemerkt, geïnterpreteerd en beantwoord. ;We zien de lichaamsgebonden communicatie toenemen ,meer contact, rust, anticiperen...;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.12;F1.;Communicatieve fundamenten;Communicatievormen;Sensatieniveau;De leerling neemt sensorische signalen (sensaties) zoals tactiele exploratie (aanraken van handen, gezicht, voorwerpen), co-active touch (meebewegen met volwassenen, hand-over-hand), voelbare vibratieprikkels, visuele of auditieve prikkels op en verwerkt deze.;Door herhaling van vaste sensorische prikkels voor of na een activiteit/verwachting, zien we meer rust, contact en anticiperen.  aanraken hand voor de leerling wordt verplaatst, aanreiken washandje voor het verschonen, samen verkennen van nieuw spelmateriaal hand-over-hand...;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.13;F1.;Communicatieve fundamenten;Communicatievormen;Sensatieniveau;De leerling neemt signalen van anderen zoals gezichtuitdrukking, stem, lichaamshouding of fysieke handelingen op en verwerkt deze. ;Reageert op gezichtsuitdrukkingen of mimiek, op intonatie of stemkleur. Richt zich naar de richting van een stem (stemoriëntatie). Fixeert, fronst of vermijdt oogcontact, wijst, neemt vast, trekt. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.14;F1.;Communicatieve fundamenten;Communicatievormen;Sensatieniveau;De leerling neemt terugkerende lichaamscontactpatronen en routines op en verwerkt deze. ;Herkent lichaamscontactpatronen zoals knuffel = start, tikje = stop. Toont herkenning bij vaste routines. Verandert gedrag bij het begin of einde van een activiteit. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.15;F1.;Communicatieve fundamenten;Communicatievormen;Sensatieniveau;De leerling kan iets duidelijk maken via houding.;Lichaam wegdraaien of toenaderen, houding veranderen, richting van het lichaam;;
P;K-;1.3.9;K-1.3.9;1.1.PF1.16;F1.;Communicatieve fundamenten;Communicatievormen;Sensatieniveau;De leerling kan signalen geven via aanraking of beweging. ;Aanraken van persoon of voorwerp, trekken, duwen, vastnemen, haptische signalen (met communicatieve bedoeling tikken op het lichaam van de begeleider);;
P;K-;1.3.9;K-1.3.9;1.1.PF1.17;F1.;Communicatieve fundamenten;Communicatievormen;Sensatieniveau;De leerling kan zich uiten via vroege communicatieve signalen. ;Oogcontact, blik richten, kleine vingerbewegingen als intentiesignaal, prelinguale of vroege gebaren, tactiele vocalisaties (trillingen of geluiden die voelbaar zijn);;
P;K-;1.3.9;K-1.3.9;1.1.PF2.20;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling neemt boodschappen op en verwerkt ze via concrete en visuele representaties in het hier en nu.;Reageert op concrete voorwerpen, herkent identieke foto's, interpreteert pictogrammen of afbeeldingen, volgt visuele routines waarbij de volgorde zichtbaar wordt gemaakt.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.21;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling neemt boodschappen op en verwerkt ze via gebaren en lichaamsexpressie.;Reageert op vertrouwde en herkenbare gebaren, volgt uitgebreide visuele gebaren zoals babygebaren of SMOG, begrijpt pantomime of duidelijke lichaamsexpressie.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.22;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling neemt boodschappen op en verwerk ze via auditieve signalen en mondelinge taal in het hier en nu.;Reageert op klanken en woorden die gekoppeld zijn aan het moment, herkent auditieve signalen zoals geluids- of muziekcues bij overgang.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.23;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling neemt boodschappen op en verwerkt ze via object- en tactiele symbolen.;Herkent voorwerpenensymbolen (object cues), reageert op tactiele symbolen zoals voelbare kaarten of tags.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.24;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling neemt boodschappen op en verwerkt ze via ruimtelijke en fysieke ondersteuning. ;Volgt spatiële geleiding waarbij positie in de ruimte als verwijzer dient, laat zich meevoeren of begeleiden via co-actieve handelingen. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.25;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling kan eenvoudige boodschappen verwerken via visuele of fysieke signaalgevers.;Reageert op lichtsignalen zoals licht aan/uit als start of stop, past gedrag aan bij herhaalde visuele signalen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.26;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling kan boodschappen verwerken en hierop reageren via oog- en aanraakgedrag.;Gebruikt oogpuntgedrag zoals ja/nee via oogbeweging, maakt een aanraak-gebaseerde keuze wanneer een voorwerp binnen handbereik wordt aangeboden. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.27;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling voelt zich ondersteund in het verwerken van boodschappen doordat de leraar betekenis geeft aan zijn reacties en deze consequent bevestigt. ;Leraar benoemt reacties van de leerling, koppelt signalen aan betekenis, herhaalt en bevestigt boodschappen binnen herkenbare context.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.28;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling kan boodschappen uiten in het hier en nu via concrete en visuele verwijzers.;Gebruikt vertrouwde en herkenbare voorwerpen als verwijzer, wijst of reikt een foto, pictogram of picti aan, gebruikt afbeeldingen om iets kenbaar te maken. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.29;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling kan boodschappen uiten via gebaren en visuele expressie.;Gebruikt vertrouwde gebaren, maakt grote en duidelijke gebaren, zet krachtige visuele mimiek in.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.30;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling kan boodschappen uiten via klanken en woorden die gekoppeld zijn aan het hier en nu.;Gebruikt klanken of woorden in de actuele context, varieert richting of intensiteit van geluid (akoestische vocalisaties);;
P;K-;1.3.9;K-1.3.9;1.1.PF2.31;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling kan boodschappen uiten via handelingen met voorwerpen.;Trekt een voorwerp naar zich toe, reikt een voorwerp aan als signaal, gebruikt een object functioneel om iets duidelijk te maken. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.32;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling kan boodschappen uiten via lichamelijke signalen.;Gebruikt haptische gebaren met betekenis in het hier en nu  op hand tikken in eetsituatie als 'nog', drukt betekenis uit via lichaamshouding.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.33;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling kan boodschappen uiten via oog- en spiersignalen. ;Maakt een keuze via oogfixatie, drukt ja/nee uit via verandering in spierspanning.;;
P;K-;1.3.9;K-1.3.9;1.1.PF2.34;F2.;Communicatieve fundamenten;Communicatievormen;Prestatieniveau;De leerling voelt zich ondersteund in communicatie doordat zijn kleine of onduidelijke signalen door de begeleider geïnterpreteerd en betekenisvol beantwoord worden. ;Begeleider herkent en interpreteert mini-gebaren, bevestigt de veronderstelde boodschap, reageert consequent op deze signalen. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.19;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling neemt communicatieve boodschappen op en verwerkt ze via concrete en visuele symbolen.;Interpreteert voorwerpen als verwijzer, herkent foto's, pictogrammen of afbeeldingen, begrijpt gesimplificeerde symbolen met grote tactiele oppervlakken.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.20;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan communicatieve boodschappen opnemen en verwerken via gebaren en gebarensystemen.;Begrijpt gebaren, volgt SMOG of anderen gebarensystemen, interpreteert gebaren in combinatie met woorden of beelden.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.21;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling neemt communicatieve boodschappen op en verwerkt ze via gesproken taal in eenvoudige structuren.;Begrijpt woorden en korte zinnen, volgt auditieve sequenties zoals 'nu eten, straks buiten'.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.22;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan boodschappen verwerken die bestaan uit combinaties of volgordes.;Begrijpt visuele zinnen met combinaties van pictogrammen, volgt voorwerpschema's of tactiele dagschema's, verwerkt tactiele gebarenvolgorde in de handen van het kind.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.23;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling neemt communicatieve boodschappen op via tactiele en multisensorische ondersteuning.;Herkent tactiele symbolen met textuur, reliëf of voelbare codes, volgt stappenplannen via aanraking.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.24;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling neemt communicatieve boodschappen op via audiovisuele en lichtsignalen.;Interpreteert videobeelden met gebaren of acties, reageert op lichtsignalen als tijds- of overgangssignaal.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.25;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan keuzes verwerken die aangeboden worden via ondersteunde communicatiestrategieën.;Verwerkt grote-keuzecommunicatie via partner assisted scanning, begrijpt auditieve keuzevragen zoals 'Wil je A of B?' bij intact gehoor.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.26;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling voelt zich ondersteund in het verwerken van complexere boodschappen doordat de begeleider structuur, herhaling en bevestiging biedt. ;Begeleider structureert boodschappen in stappen, combineert meerdere modaliteiten, herhaal en bevestigt begrip.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.27;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan communicatieve boodschappen uiten via concrete en visuele middelen.;Toont of reikt voorwerpen aan, gebruikt foto's om iets duidelijk te maken, kiest of wijst pictogrammen aan, gebruikt afbeeldingen als boodschap. ;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.28;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan communicatieve boodschappen uiten via gebaren en gebarensystemen.;Gebruikt gebaren, drukt zich uit via gebarentaal of SMOG-zinnen, maakt tactiele gebaren.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.29;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan communicatieve boodschappen uiten via gesproken of vocale expressie. ;Gebruikt woorden, vormt korte zinnen, uit auditieve vocale boodschappen zoals klanken of geluiden.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.30;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan communicatieve boodschappen uiten via tactiele en concrete verwijzers. ;Toont tactiele verwijzers zoals voorwerp-tokens, combineert voelen en handelen om betekenis over te brengen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.31;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan communicatieve boodschappen uiten via samengestelde of narratieve vormen.;Gebruikt visuele verhalen met prenten of symbolen, combineert meerdere symbolen om een boodschap te vormen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.32;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan communicatieve boodschappen uiten door te wijzen naar relevante symbolen.;Wijst met vinger naar een symbool, wijst met ogen naar relevante symbolen.;;
P;K-;1.3.9;K-1.3.9;1.1.PF3.33;F3.;Communicatieve fundamenten;Communicatievormen;Representatieniveau;De leerling kan keuzes en voorkeuren uiten via ondersteunde communicatiestrategieën. ;Neemt deel aan partner assisted scanning waarbij de begeleider opties benoemt en de leerling stopt of reageert, gebruikt spiercontracties en signalen naar keuze. ;;
S;K-;1.1.5;K-1.1.5;1.2.SF5.1;F5.;Lezen;Globaal lezen;;De leerling kan functionele visuele of tactiele boodschappen in de directe leefwereld herkennen.;Zoals beelden, pictogrammen, foto’s of tekeningen  stop, wc, eten, uitgang, naamkaartjes, stappenkaarten bij een taak of spel;;
S;K-;1.1.5;K-1.1.5;1.2.SF5.2;F5.;Lezen;Globaal lezen;;De leerling kan functionele visuele of tactiele boodschappen gebruiken in de directe leefwereld.;Zoals beelden, pictogrammen, foto’s of tekeningen  stop, wc, eten, uitgang, naamkaartjes, stappenkaarten bij een taak of spel;;
S;K-;1.1.5;K-1.1.5;1.2.SF5.3;F5.;Lezen;Globaal lezen;;De leerling begrijpt woordbeelden en visuele boodschappen in maatschappelijke contexten.;Menu, recept, schema’s, boodschappenlijstjes;;
S;K-;1.1.5;K-1.1.5;1.2.SF5.4;F5.;Lezen;Globaal lezen;;De leerling kan woordbeelden en visuele boodschappen gebruiken in maatschappelijke contexten.;Menu, recept, schema’s, boodschappenlijstjes;;
S;K-;1.1.5;K-1.1.5;1.2.SF5.5;F5.;Lezen;Globaal lezen;;De leerling kan persoonlijke woordbeelden in eenvoudige functionele teksten herkennen.;Eigen naam, naam van klasgenoten, dagactiviteiten, namen van leerkrachten;;
S;K-;1.1.5;K-1.1.5;1.2.SF5.6;F5.;Lezen;Globaal lezen;;De leerling kan persoonlijke woordbeelden lezen in eenvoudige functionele teksten.;Eigen naam, naam van klasgenoten, dagactiviteiten, namen van leerkrachten;;
S;K-;1.1.5;K-1.1.5;1.2.SF5.7;F5.;Lezen;Globaal lezen;;De leerling kan eenvoudige zinnen lezen met ondersteuning van woordbeelden en visuele boodschappen.;Een stappenplan, herinnering om materiaal mee te brengen;;
S;K-;1.1.5;K-1.1.5;1.2.SF5.8;F5.;Lezen;Globaal lezen;;De leerling kan eenvoudige verhalen of thema’s navertellen via geschreven tekst gecombineerd met visuele boodschappen.;Korte klasverhalen, verslag van een uitstap, themateksten met woordbeelden en prenten, nieuwjaarsbrief;;
P;K-;1.1.2;K-1.1.2;1.2.PF3.1;F3.;Lezen;Vlot en vloeiend lezen;;De leerling kan klankpatronen in terugkerende liedjes of routines herkennen.;;;
